S.No,treatment ,treatment
1,Yes,Yes
2,No,Yes
3,Yes,Yes
4,No,Yes
5,No,Yes
6,No,Yes
7,Yes,Yes
8,Yes,Yes
9,No,Yes
10,No,Yes
11,Yes,Yes
12,Yes,Yes
13,Yes,Yes
14,Yes,Yes
15,No,Yes
16,No,Yes
17,No,Yes
18,Yes,Yes
19,Yes,Yes
20,No,Yes
21,No,Yes
22,Yes,Yes
23,No,Yes
24,Yes,Yes
25,No,Yes
26,No,Yes
27,No,Yes
28,Yes,Yes
29,Yes,Yes
30,No,Yes
31,Yes,Yes
32,No,Yes
33,No,Yes
34,No,Yes
35,No,Yes
36,No,Yes
37,No,Yes
38,No,Yes
39,Yes,Yes
40,Yes,Yes
41,Yes,Yes
42,No,Yes
43,No,Yes
44,Yes,Yes
45,No,Yes
46,No,Yes
47,Yes,Yes
48,No,Yes
49,Yes,Yes
50,No,Yes
51,Yes,Yes
52,Yes,Yes
53,Yes,Yes
54,No,Yes
55,No,Yes
56,No,Yes
57,No,Yes
58,No,Yes
59,No,Yes
60,Yes,Yes
61,Yes,Yes
62,No,Yes
63,Yes,Yes
64,No,Yes
65,Yes,Yes
66,Yes,Yes
67,No,Yes
68,Yes,Yes
69,Yes,Yes
70,No,Yes
71,Yes,Yes
72,No,Yes
73,Yes,Yes
74,No,Yes
75,Yes,Yes
76,Yes,Yes
77,Yes,Yes
78,No,Yes
79,Yes,Yes
80,Yes,Yes
81,Yes,Yes
82,No,Yes
83,No,Yes
84,No,Yes
85,Yes,Yes
86,No,Yes
87,No,Yes
88,Yes,Yes
89,No,Yes
90,Yes,Yes
91,No,Yes
92,No,Yes
93,No,Yes
94,No,Yes
95,No,Yes
96,No,Yes
97,Yes,Yes
98,No,Yes
99,No,Yes
100,Yes,Yes
101,No,Yes
102,No,Yes
103,Yes,Yes
104,Yes,Yes
105,No,Yes
106,Yes,Yes
107,Yes,Yes
108,No,Yes
109,Yes,Yes
110,No,Yes
111,No,Yes
112,No,Yes
113,No,Yes
114,Yes,Yes
115,No,Yes
116,No,Yes
117,Yes,Yes
118,No,Yes
119,Yes,Yes
120,No,Yes
121,No,Yes
122,Yes,Yes
123,No,Yes
124,Yes,Yes
125,Yes,Yes
126,Yes,Yes
127,No,Yes
128,Yes,Yes
129,No,Yes
130,No,Yes
131,No,Yes
132,No,Yes
133,No,Yes
134,No,Yes
135,Yes,Yes
136,Yes,Yes
137,No,Yes
138,No,Yes
139,Yes,Yes
140,No,Yes
141,Yes,Yes
142,No,Yes
143,Yes,Yes
144,No,Yes
145,Yes,Yes
146,No,Yes
147,No,Yes
148,No,Yes
149,No,Yes
150,Yes,Yes
151,Yes,Yes
152,Yes,Yes
153,No,Yes
154,No,Yes
155,Yes,Yes
156,No,Yes
157,No,Yes
158,No,Yes
159,No,Yes
160,No,Yes
161,Yes,Yes
162,Yes,Yes
163,No,Yes
164,Yes,Yes
165,Yes,Yes
166,No,Yes
167,Yes,Yes
168,No,Yes
169,No,Yes
170,Yes,Yes
171,Yes,Yes
172,No,Yes
173,Yes,Yes
174,Yes,Yes
175,Yes,Yes
176,No,Yes
177,No,Yes
178,No,Yes
179,No,Yes
180,No,Yes
181,Yes,Yes
182,Yes,Yes
183,Yes,Yes
184,No,Yes
185,No,Yes
186,No,Yes
187,Yes,Yes
188,No,Yes
189,No,Yes
190,Yes,Yes
191,Yes,Yes
192,No,Yes
193,No,Yes
194,Yes,Yes
195,Yes,Yes
196,No,Yes
197,No,Yes
198,No,Yes
199,No,Yes
200,No,Yes
201,Yes,Yes
202,No,Yes
203,No,Yes
204,No,Yes
205,Yes,Yes
206,No,Yes
207,No,Yes
208,Yes,Yes
209,No,Yes
210,No,Yes
