S.No,treatment ,treatment
1,Yes,Yes
2,No,Yes
3,Yes,Yes
4,No,Yes
5,No,No
6,No,No
7,Yes,Yes
8,Yes,No
9,No,No
10,No,Yes
11,Yes,Yes
12,Yes,Yes
13,Yes,No
14,Yes,No
15,No,No
16,No,Yes
17,No,Yes
18,Yes,No
19,Yes,No
20,No,No
21,No,No
22,Yes,No
23,No,No
24,Yes,Yes
25,No,No
26,No,Yes
27,No,Yes
28,Yes,Yes
29,Yes,Yes
30,No,Yes
31,Yes,No
32,No,Yes
33,No,Yes
34,No,Yes
35,No,Yes
36,No,Yes
37,No,No
38,No,No
39,Yes,No
40,Yes,Yes
41,Yes,Yes
42,No,No
43,No,No
44,Yes,Yes
45,No,Yes
46,No,No
47,Yes,Yes
48,No,Yes
49,Yes,Yes
50,No,No
51,Yes,No
52,Yes,No
53,Yes,Yes
54,No,Yes
55,No,Yes
56,No,No
57,No,Yes
58,No,No
59,No,Yes
60,Yes,Yes
61,Yes,No
62,No,Yes
63,Yes,Yes
64,No,No
65,Yes,Yes
66,Yes,No
67,No,Yes
68,Yes,No
69,Yes,Yes
70,No,Yes
71,Yes,No
72,No,Yes
73,Yes,No
74,No,No
75,Yes,No
76,Yes,No
77,Yes,Yes
78,No,No
79,Yes,Yes
80,Yes,Yes
81,Yes,No
82,No,Yes
83,No,No
84,No,Yes
85,Yes,Yes
86,No,Yes
87,No,No
88,Yes,Yes
89,No,Yes
90,Yes,Yes
91,No,No
92,No,Yes
93,No,No
94,No,No
95,No,Yes
96,No,No
97,Yes,Yes
98,No,Yes
99,No,Yes
100,Yes,Yes
101,No,No
102,No,Yes
103,Yes,No
104,Yes,Yes
105,No,Yes
106,Yes,Yes
107,Yes,No
108,No,No
109,Yes,No
110,No,Yes
111,No,No
112,No,Yes
113,No,No
114,Yes,No
115,No,Yes
116,No,Yes
117,Yes,Yes
118,No,Yes
119,Yes,No
120,No,No
121,No,Yes
122,Yes,No
123,No,No
124,Yes,Yes
125,Yes,No
126,Yes,No
127,No,Yes
128,Yes,Yes
129,No,No
130,No,No
131,No,No
132,No,Yes
133,No,Yes
134,No,No
135,Yes,Yes
136,Yes,Yes
137,No,No
138,No,No
139,Yes,Yes
140,No,No
141,Yes,Yes
142,No,Yes
143,Yes,Yes
144,No,No
145,Yes,No
146,No,No
147,No,Yes
148,No,No
149,No,No
150,Yes,Yes
151,Yes,No
152,Yes,Yes
153,No,Yes
154,No,No
155,Yes,No
156,No,No
157,No,No
158,No,Yes
159,No,No
160,No,Yes
161,Yes,Yes
162,Yes,Yes
163,No,No
164,Yes,Yes
165,Yes,No
166,No,Yes
167,Yes,No
168,No,No
169,No,No
170,Yes,No
171,Yes,No
172,No,Yes
173,Yes,Yes
174,Yes,Yes
175,Yes,No
176,No,Yes
177,No,Yes
178,No,No
179,No,No
180,No,Yes
181,Yes,No
182,Yes,Yes
183,Yes,No
184,No,Yes
185,No,Yes
186,No,No
187,Yes,Yes
188,No,No
189,No,Yes
190,Yes,Yes
191,Yes,No
192,No,Yes
193,No,No
194,Yes,No
195,Yes,Yes
196,No,No
197,No,Yes
198,No,No
199,No,Yes
200,No,Yes
201,Yes,Yes
202,No,Yes
203,No,Yes
204,No,Yes
205,Yes,Yes
206,No,No
207,No,Yes
208,Yes,Yes
209,No,Yes
210,No,Yes
